TeamName,WinRate,TeamAutoLower,TeamAutoUpper,TeamTeleopLower,TeamTeleopUpper,HangScore,HighestCompLevel
frc151,0.5474137931034483,0.8793103448275862,1.3922413793103448,6.568965517241379,5.956896551724138,5.147058823529412,5.0
frc3688,0.5192307692307693,0.46153846153846156,2.2403846153846154,3.5384615384615383,10.009615384615385,5.886363636363637,3.0
frc141,0.4318181818181818,0.43356643356643354,2.304195804195804,2.2167832167832167,9.611888111888112,5.904761904761905,5.0
frc6937,0.3,0.2,1.6,3.0,6.9,0.8,0.0
frc3954,0.5454545454545454,1.7272727272727273,1.2727272727272727,10.454545454545455,4.818181818181818,5.090909090909091,0.0
frc8012,0.4583333333333333,0.8333333333333334,1.1666666666666667,3.5833333333333335,4.0,0.0,0.0
frc3944,0.6428571428571429,0.35714285714285715,1.7857142857142858,3.4285714285714284,7.285714285714286,0.0,0.0
frc714,0.4230769230769231,0.48717948717948717,1.3974358974358974,0.8974358974358975,8.974358974358974,0.0,5.0
frc7289,0.4027777777777778,0.9861111111111112,1.1666666666666667,6.333333333333333,5.236111111111111,4.793103448275862,0.0
frc8374,0.325,0.4666666666666667,1.3666666666666667,3.033333333333333,4.816666666666666,0.6666666666666666,0.0
frc4295,0.3484848484848485,0.6515151515151515,0.9545454545454546,2.772727272727273,2.0757575757575757,2.8461538461538463,0.0
frc8364,0.31666666666666665,0.43333333333333335,1.4166666666666667,2.5,7.483333333333333,1.5,0.0
frc4285,0.49411764705882355,0.7058823529411765,2.152941176470588,1.7882352941176471,6.905882352941177,2.3529411764705883,5.0
frc8521,0.5,0.625,2.1875,2.0625,12.1875,5.0,3.0
frc237,0.5363636363636364,0.6636363636363637,2.7636363636363637,3.0,10.8,6.9787234042553195,3.0
frc2815,0.6428571428571429,0.8571428571428571,1.2857142857142858,3.857142857142857,3.642857142857143,11.428571428571429,0.0
frc8531,0.611336032388664,0.4291497975708502,3.3036437246963564,1.291497975708502,14.020242914979757,4.54054054054054,3.0
frc5843,0.48717948717948717,0.3717948717948718,1.8076923076923077,4.602564102564102,6.769230769230769,12.290322580645162,3.0
frc1572,0.5588235294117647,0.7352941176470589,2.0588235294117645,2.0,10.588235294117647,1.8571428571428572,3.0
frc5726,0.5449438202247191,0.3857677902621723,1.7602996254681649,1.9550561797752808,7.835205992509363,4.7317073170731705,0.0
frc3302,0.390625,0.640625,1.34375,3.171875,5.96875,1.0769230769230769,0.0
frc5736,0.6097560975609756,0.7439024390243902,2.6463414634146343,5.170731707317073,11.402439024390244,8.363636363636363,3.0
frc4501,0.42805755395683454,0.46402877697841727,2.2697841726618706,1.9064748201438848,9.079136690647482,4.651162790697675,3.0
frc5992,0.3,0.7666666666666667,0.9666666666666667,5.433333333333334,5.416666666666667,5.666666666666667,0.0
frc8598,0.4583333333333333,0.5833333333333334,1.0,1.1666666666666667,4.333333333333333,2.5,0.0
frc7713,0.42857142857142855,0.7142857142857143,1.0,3.9285714285714284,5.642857142857143,5.428571428571429,0.0
frc2135,0.68,0.28923076923076924,3.646153846153846,1.64,13.123076923076923,11.041666666666666,5.0
